ID_CUSTOMER,COD_TIPO_NDG,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS,expected_recovery_ratio,unrecovered_amount,recovery_score
27024,C,517.45,0.8309760006502389,0.7616390343335933,394.1101183159179,A,0.7616390343335933,123.33988168408217,0.6329037586896393
17405,F,3032.61,0.8967123916426574,0.6793516692416716,2060.208665658986,A,0.6793516692416717,972.4013343410143,0.6091830600921309
6735,C,467.58,0.9489836382705774,0.6318837685319041,295.4562124901477,A,0.6318837685319041,172.12378750985226,0.5996473576255298
434,G,283.18,0.8832082837879485,0.6741501732617561,190.9058460642641,A,0.6741501732617561,92.27415393573591,0.5954150175418637
6706,C,500.14,0.9352522403279454,0.6190703037658849,309.62182172546966,A,0.6190703037658849,190.51817827453033,0.5789868885175455
27177,F,8210.79,0.8887763058620494,0.6135325131307087,5037.586623488492,A,0.6135325131307087,3173.2033765115093,0.5452931605465705
15530,F,842.37,0.947027735450271,0.5716827531566298,481.5684007765502,A,0.5716827531566298,360.8015992234498,0.5413994231178993
14608,C,1013.24,0.9420016334082018,0.568474461423217,576.0010632924605,A,0.568474461423217,437.23893670753955,0.5355038712115182
18357,F,771.51,0.9046604495586008,0.5904105143631077,455.5076159362812,A,0.5904105143631077,316.0023840637188,0.5341210413478538
21253,F,848.25,0.9101008404123676,0.573855688295104,486.773087596322,A,0.573855688295104,361.476912403678,0.5222665441927918
16600,C,909.7,0.9619515933456492,0.5355978270757585,487.2333432908176,A,0.5355978270757585,422.4666567091825,0.5152191831479934
25850,F,640.92,0.9083002479263536,0.5577959001282888,357.50254831022283,A,0.5577959001282888,283.4174516897771,0.5066461543788283
11930,F,1027.68,0.9270916918467164,0.546035576811641,561.1498415777874,A,0.546035576811641,466.5301584222127,0.506225046714802
3074,C,708.52,0.8902596799384056,0.5605338611126816,397.1494512755571,A,0.5605338611126816,311.37054872444287,0.4990206957888146
6118,F,812.93,0.8275466734559543,0.5980373121934737,486.1624722014405,A,0.5980373121934737,326.76752779855946,0.49490378830824916
24438,F,819.21,0.9201731986944948,0.5364830857216353,439.49230865402086,A,0.5364830857216353,379.7176913459792,0.49365735703396996
16408,G,1438.53,0.9610500785643874,0.5102351894128849,733.9886270261173,A,0.5102351894128849,704.5413729738826,0.4903615688715681
21781,G,1328.59,0.8722387484920089,0.5547559368780316,737.0431901767839,A,0.5547559368780316,591.546809823216,0.48387962410100616
15662,C,539.63,0.9105321461376992,0.5265348833502748,284.13401910230874,A,0.5265348833502748,255.49598089769125,0.4794269373532888
7161,G,1596.68,0.7978988392814832,0.5955661150106774,950.9285045152484,A,0.5955661150106774,645.7514954847517,0.4752015118824018
26320,G,285.73,0.7001049487058724,0.6746996440113611,192.7819292833662,B,0.6746996440113611,92.94807071663382,0.4723605596624443
21009,F,909.84,0.9201682006525106,0.5057613285325273,460.1618871520346,A,0.5057613285325272,449.67811284796545,0.46538549163539894
27607,C,498.11,0.8558070979740144,0.5358900176077676,266.9321766706051,A,0.5358900176077676,231.17782332939493,0.45861848080214707
1128,C,904.84,0.9202695243556084,0.49646601879501,449.2223124464769,A,0.49646601879501007,455.6176875535231,0.4568825469752064
26852,F,1395.38,0.7882168100416685,0.5773678769864303,805.6475881893252,A,0.5773678769864303,589.7324118106749,0.4550910662187746
22419,C,391.15,0.9803631991965251,0.4637434441406844,181.3932481756287,A,0.46374344414068447,209.75675182437126,0.45463700650417643
27770,G,269.95,0.6996450034678152,0.6439352279155,173.8303147757892,B,0.6439352279155,96.1196852242108,0.45052606476798834
24704,F,1598.78,0.8936675624672653,0.4930181826166185,788.2276100037973,A,0.4930181826166185,810.5523899962027,0.44059435751103454
15793,F,1619.33,0.9708104680914108,0.4537958984500231,734.845312237076,A,0.45379589845002316,884.484687762924,0.44054980859222925
15294,F,798.99,0.8793877776248387,0.4994092934168143,399.02303134710047,A,0.49940929341681434,399.96696865289954,0.43917442866300327
11923,G,346.6,0.7136031528169187,0.614467936243042,212.97458670183835,B,0.614467936243042,133.62541329816167,0.4384862566079401
16093,C,592.32,0.9401330525938612,0.4645480109299768,275.16107783404385,A,0.4645480109299768,317.1589221659562,0.43673693959200544
22731,G,1750.39,0.8573097655427654,0.5093491948400102,891.5597371560054,A,0.5093491948400102,858.8302628439947,0.43667003880768546
10378,F,959.42,0.9227214380223164,0.4732145859910002,454.01153809148536,A,0.4732145859910002,505.4084619085146,0.4366452432787508
18291,C,986.19,0.9501553882648444,0.4537551557518922,447.4887970509586,A,0.45375515575189224,538.7012029490414,0.43113790619061404
15544,F,1096.27,0.8567272350188058,0.5027861725375063,551.1893973676921,A,0.5027861725375063,545.0806026323079,0.43075060740374604
22564,G,1785.92,0.9673981397433782,0.4443364013047157,793.549265818118,A,0.44433640130471574,992.3707341818821,0.4298502080424491
11257,F,1221.49,0.837004606071018,0.5120363385555401,625.4472671822067,A,0.5120363385555401,596.0427328177933,0.42857677384672627
20942,F,566.13,0.9478035098950488,0.4504736297141152,255.02663599005209,A,0.4504736297141153,311.1033640099479,0.4269604873582009
6478,F,837.61,0.8466126163272842,0.503055800255293,421.364568851836,A,0.5030558002552931,416.245431148164,0.4258933872127493
24712,F,376.1,0.8497480440599249,0.5010246394741937,188.43536690624427,A,0.5010246394741937,187.66463309375575,0.42574470741902515
26719,G,388.68,0.6918387807619972,0.6128014763092823,238.18367781189184,B,0.6128014763092823,150.49632218810817,0.4239598262189658
25572,F,1164.71,0.7990992395882973,0.5289857906682291,616.1150402491932,A,0.5289857906682291,548.5949597508069,0.42271214307599614
12395,C,492.19,0.90699519773622,0.4614385144263342,227.11542241549745,A,0.46143851442633427,265.07457758450255,0.41852251663522055
19216,G,1908.1,0.9052258212531684,0.4590614440187599,875.9351413321957,A,0.45906144401875987,1032.1648586678043,0.41555427266754735
23036,F,996.95,0.9002833603626348,0.4611874732741715,459.7808514806853,A,0.46118747327417153,537.1691485193147,0.4151994081964239
24713,F,853.33,0.954708370679988,0.4338188884173388,370.1906720531677,A,0.4338188884173388,483.13932794683234,0.41417052413112104
15016,F,1123.77,0.781802876533874,0.5291171889581979,594.6060234355541,A,0.5291171889581979,529.1639765644459,0.4136653403510365
10252,F,1128.41,0.840478401536962,0.4916559139704275,554.7894498833703,A,0.4916559139704276,573.6205501166298,0.413226176680059
8290,G,335.89,0.7875081413985348,0.5230101728143166,175.6738869466008,A,0.5230101728143166,160.2161130533992,0.41187476912552895
26521,F,689.31,0.8713902444633389,0.4700369417868827,324.00116434311616,A,0.4700369417868828,365.3088356568838,0.4095856056104719
21651,F,734.65,0.9112022300189588,0.4491471687897151,329.9659675513642,A,0.4491471687897151,404.6840324486358,0.40926390180789013
10992,G,1623.64,0.9316850597024328,0.4375068799810252,710.3536706123919,A,0.4375068799810252,913.2863293876082,0.40761862359534656
13724,C,880.23,0.8443641598165122,0.4806280761049721,423.0632514298796,A,0.4806280761049721,457.16674857012043,0.4058251216646015
7943,G,4133.09,0.7875912548440122,0.507881348666411,2099.119323359657,A,0.507881348666411,2033.9706766403433,0.4000029087080479
8312,F,1405.12,0.8961527797115747,0.4448154167272229,625.0190383517554,A,0.4448154167272229,780.1009616482445,0.3986225721586633
